assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,0,463748,None,,0,0,0,0,0.0,517,52,None,,0,1,0.5,1.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Karl,0.0,448,67,0,0,0,0.0,539,68,646,False,0.0,532,68,0,,None,40,679,60,0,0,None,0,,463748.jpg,0.0,544,68,0,0,0,Hein,0.1,505,68,False,None,0,0,a,1,3,0.0,494,45,0,3603,145,2496,144,0.0,0.0,Hein,0
0,0,0,None,None,0,0,516874,None,,0,0,0,0,0.0,662,273,None,,0,3,1.7,2.2,0,0.00,0,0.00,0,0.00,0.00,0,0,Charles,0.0,619,243,0,0,0,0.0,673,276,735,False,0.0,667,272,0,,None,45,444,259,0,0,None,0,,516874.jpg,0.0,676,279,0,0,0,Sagoe,0.0,733,313,False,None,0,0,a,1,3,0.0,653,268,0,110,110,20,20,0.0,0.0,Sagoe,0
0,0,0,None,None,0,0,535262,None,,0,0,0,0,0.0,535,207,None,,0,2,1.8,2.3,0,0.00,0,0.00,0,0.00,0.00,0,0,Reuell,0.0,468,174,0,0,0,0.0,557,209,736,False,0.0,551,210,0,,None,40,702,218,0,0,None,0,,535262.jpg,0.0,562,206,0,0,0,Walters,0.0,706,237,False,None,0,0,a,1,3,0.0,513,200,0,332,332,44,44,0.0,0.0,Walters,0
0,0,0,None,None,0,0,535264,None,,0,0,0,0,0.0,670,277,None,,0,3,1.7,2.2,0,0.00,0,0.00,0,0.00,0.00,0,0,Bradley,0.0,629,248,0,0,0,0.0,680,279,737,False,0.0,674,275,0,,None,45,454,264,0,0,None,0,,535264.jpg,0.0,682,281,0,0,0,Ibrahim,0.0,735,314,False,None,0,0,a,1,3,0.0,661,272,0,88,88,15,15,0.0,0.0,Ibrahim,0
0,0,0,100,100,0,0,106468,None,,0,0,0,0,0.0,708,240,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Alexandre,0.0,680,234,0,0,0,0.0,712,240,32,False,0.0,712,240,0,,2023-09-24T22:30:06.810510Z,50,173,21,0,0,None,0,,106468.jpg,0.0,712,239,0,0,0,Moreno Lopera,0.1,431,167,False,None,0,0,a,2,7,0.0,705,240,0,11277,1647,9767,531,0.0,0.0,Alex Moreno,0
3,3,115,100,100,1,0.26,215711,4,,0,0,0,0,129.2,91,66,None,,1,3,3.8,3.8,4,1.87,0.49,3.80,1.0,1.93,6.81,1.8,0.51,Leon,3.8,62,32,7,1.85,3,42.8,93,58,34,False,170.2,126,50,341,,2023-09-28T04:00:07.310756Z,55,102,62,0,0,None,0,,215711.jpg,3.8,82,41,0,0,0.0,Bailey,1.1,169,57,False,None,2,0.53,a,2,7,129.0,93,57,38,242789,1805,232778,2802,0.7,6.9,Bailey,1
0,0,0,0,0,0,0,195546,None,,0,0,-3,3,0.0,733,318,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Emiliano,0.0,720,311,0,0,0,0.0,733,318,35,False,0.0,733,318,0,Knee injury - Expected back 10 Feb,2023-08-10T11:00:05.686871Z,57,85,53,0,0,None,0,,195546.jpg,0.0,732,318,0,0,0,Buendía Stati,0.0,530,189,False,None,0,0,i,2,7,0.0,733,318,0,554,15,16757,44,0.0,0.0,Buendia,0
1,4,202,100,100,3,0.26,199796,None,,0,0,7,-7,92.4,143,32,None,,1,2,2.2,2.2,2,1.31,0.12,4.74,0.42,3.43,14.56,1.28,0.3,Matty,2.2,146,51,15,1.32,2,60.3,46,4,36,False,245.4,55,17,1023,,2023-11-05T22:00:08.120450Z,52,158,15,1,0,None,0,,199796.jpg,3.8,76,19,0,0,0.0,Cash,33.7,9,2,False,None,12,1.06,a,2,7,264.0,30,1,45,3424226,32636,849646,61708,0.4,8.7,Cash,3
0,0,0,None,None,0,0,101184,None,,0,0,-1,1,0.0,441,158,None,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Calum,0.0,365,115,0,0,0,0.0,465,160,37,False,0.0,459,161,0,,None,39,717,227,0,0,None,0,,101184.jpg,0.0,470,157,0,0,0,Chambers,1.0,178,69,False,None,0,0,a,2,7,0.0,416,148,0,37567,1284,71969,1508,0.0,0.0,Chambers,0
0,0,7,0,0,0,0.0,84583,None,,0,0,-2,2,2.8,390,195,None,,0,3,0.0,0.0,0,0.02,0.08,0.17,0.64,0.15,0.68,2.55,0.56,Philippe,0.0,721,312,1,3.75,0,1.8,426,197,38,False,4.0,429,198,24,Joined Al-Duhail on loan for the rest of the season,2023-08-20T22:00:05.790965Z,58,71,44,0,0,None,0,,84583.jpg,1.0,431,213,0,0,0.0,Coutinho Correia,0.2,332,99,False,None,0,0.0,u,2,7,12.0,340,172,2,4781,0,46873,171,0.0,0.3,Coutinho,0
